upstream_file_path,upstream_commit,original_formula_or_logic,local_adaptation,license,local_symbol
humanoidverse/envs/legged_base_task/legged_robot_base_ma.py:280-285,a967a6d8494f57777cf8d266a644ac8e45833301,body-frame v/w/gravity via quat_rotate_inverse,body_frame_vectors; explicit xyzw and caller-side IsaacLab wxyz boundary,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,body_frame_vectors
humanoidverse/envs/legged_base_task/legged_robot_base_ma.py:647-649,a967a6d8494f57777cf8d266a644ac8e45833301,"sum(projected_gravity[..., :2] ** 2)",gravity_xy_penalty; raw metric without reward scale,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,gravity_xy_penalty
humanoidverse/envs/decoupled_locomotion/decoupled_locomotion_stand_ma.py:489-495,a967a6d8494f57777cf8d266a644ac8e45833301,stance abs(g_y)+g_x^2; walking sum(g_xy^2),torso_orientation_penalty exposes masks and flags,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,torso_orientation_penalty
humanoidverse/envs/decoupled_locomotion/decoupled_locomotion_stand_height_waist_wbc_ma.py:424-436; ...diff_force.py:621-630,a967a6d8494f57777cf8d266a644ac8e45833301,"height squared error and exp(abs error / sigma), optional stance scale/force gate",base_height_penalty/base_height_tracking accept explicit masks and force sum,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,"base_height_penalty, base_height_tracking"
humanoidverse/envs/locomotion/locomotion_ma.py:140-148; decoupled_locomotion_stand_height_waist_wbc_ma.py:528-532,a967a6d8494f57777cf8d266a644ac8e45833301,"exp(-sum((command-measured)^2)/sigma), DOF sum-not-mean",exp_squared_tracking and upper_dof_tracking are NumPy-only,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,"exp_squared_tracking, upper_dof_tracking"
humanoidverse/envs/decoupled_locomotion/decoupled_locomotion_stand_ma.py:504-528,a967a6d8494f57777cf8d266a644ac8e45833301,"contact_i=(F_i,z > 1), count both feet",feet_contact_metrics returns masks/fractions; sensor binding deferred,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,feet_contact_metrics
humanoidverse/envs/legged_base_task/legged_robot_base_ma.py:683-686,a967a6d8494f57777cf8d266a644ac8e45833301,sum(||v_foot|| * 1[||F|| > 1]),feet_slip_penalty keeps threshold and units explicit,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,feet_slip_penalty
humanoidverse/envs/legged_base_task/legged_robot_base_ma.py:631-649,a967a6d8494f57777cf8d266a644ac8e45833301,"sum(torque^2), velocity^2, acceleration^2, action-rate^2",dynamics_penalties returns raw terms; qualification ratios stay evaluator-owned,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,dynamics_penalties
humanoidverse/utils/motion_lib/torch_humanoid_batch.py:227-266,a967a6d8494f57777cf8d266a644ac8e45833301,p_i=p_parent+R_parent o_i; q_i=q_parent*q_local,forward_kinematics_batch is clean-room NumPy FK without motion/simulator classes,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,forward_kinematics_batch
Local Phase 3 addition,a967a6d8494f57777cf8d266a644ac8e45833301,"upper-arm elevation, elbow flexion, mirrored-pose error",upper_arm_and_elbow_metrics and symmetric_mirror_error; no upstream success claim,FALCON root MIT; NVIDIA-restricted helper code is clean-room re-derived,"upper_arm_and_elbow_metrics, symmetric_mirror_error"
